Título,Director,Inicio,Fin,Tipo,Identificación,Palabras clave,,,
Faking It! A fake news multi-sourced dataset powered by Social Media,"Daniela Godoy, Antonela Tommasel",2019,2020,Facebook Research Award,,"FAKE NEWS, DISINFORMATION",,,
Hate speech is in the eye of the beholder: Exploring bias on hate perception,Antonela Tommasel,2019,2020,Facebook Research Award,,"HATE SPEECH, BIAS",,,
Sistemas de Recomendación Harm-Aware en Medios Online (Online Harm-Aware Recommender System - OHARS),Daniela Godoy,2019,2021,Cooperación Internacional CONICET-Royal Society (UK),24020190100084CO,"RECOMMENDER SYSTEMS, HATE SPEECH, DISINFORMATION",,,
Modelos de apoyo a la toma de decisiones ambientales en base a aprendizaje profundo,Daniela Godoy,2019,2020,PEIDyT - UNCPBA,03-PEIDYT-06C,"APRENDIZAJE PROFUNDO, HIDROLOGÍA",,,
Plataforma de Servicios para el Desarrollo de Software de Ciudades Inteligentes,"Zunino, Alejandro, Andrés Díaz Pace",2017,2020,Proyectos de Investigación de Unidades Ejecutoras CONICET,22920170100091CO,CIUDADES INTELIGENTES, COMPUTACIÓN ORIENTADA A SERVICIOS, SISTEMAS DE RECOMENDACIÓN,
Estrategias para Automatizar el Proceso de Refactoring de Sistemas de Software,Claudia Marcos,2018,2020,IDEAS-PROYECTOS - CIC,,,,,
Plataformas para Grid Híbridos Orientados a MANETs Aplicados a Sistemas de Recomendación Basados en Ubicación,"Cristian Mateos Diaz, Daniela Godoy",2018,2020,PIP,11220170100490CO,"COMPUTACIÓN MÓVIL, GRID HÍBRIDOS, SISTEMAS DE RECOMENDACIÓN",,,
Modelos de Look-alike para la Expansión de Audiencias,"Cristian Mateos Diaz, Daniela Godoy",2018,2018,"Fundación Sadosky, proyecto colaboración Universidad-Empresa (UNICEN-Retargetly)",S2018.,"LOOK-ALIKE, EXPANSIÓN DE AUDIENCIAS PUBLICITARIAS, BIG DATA, MACHINE LEARNING",,,
Desarrollo de un prototipo de servicio web para la gestión inteligente de módulos y funciones en archivos JavaScript.,"Claudia Marcos, Andrés Díaz Pace",2017,2018,"Fundación Sadosky, proyecto colaboración Universidad-Empresa (UNICEN-BeeReal)",S2017,"MACHINE LEARNING, JAVASCRIPT, BIG DATA, TECNOLOGIAS WEB",,,
Optimización Web JavaScript,"Claudia Marcos, Andrés Díaz Pace",2017,2018,Vinculación Tecnológica (SPU),VT38-UNICEN10191,"APRENDIZAJE AUTOMÁTICO, OPTIMIZADOR DE JAVASCRIPT, JAVASCRIPT",,,
